"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"28","[D] ran LogisticRegression on Breast Cancer data to classify benign and malignant, need feeedback! via /r/MachineLe… https://t.co/eYhwzYXI2h",FALSE,0,NA,2018-01-29 15:15:17,TRUE,NA,"957995571645739008",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","botdirectorynet",0,FALSE,FALSE,NA,NA
"29","Mastering Apache Cassandra Developer and Admin from Scratch
<U+261E> https://t.co/gqiQMG0VR0
#DataScience, #DeepLearning,… https://t.co/juECWQVuai",FALSE,0,NA,2018-01-29 15:15:16,TRUE,NA,"957995568843968512",NA,"<a href=""http://academy.learn4startup.com/"" rel=""nofollow"">Nguyen tam 2</a>","DeepLearning_f4",0,FALSE,FALSE,NA,NA
"30","RT @apanisson: #OpenPosition at ISI Foundation - we are searching for Data Scientists to work with Applied #MachineLearning in Finance. #AM…",FALSE,0,NA,2018-01-29 15:15:15,FALSE,NA,"957995562292449286",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ciro",4,TRUE,FALSE,NA,NA
"31","RT @DD_FaFa_: Real-World Machine Learning #machinelearning https://t.co/R95AVNE6NI",FALSE,0,NA,2018-01-29 15:15:14,FALSE,NA,"957995556961472514",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EnaPsychic",1,TRUE,FALSE,NA,NA
"32","This just in - our execs will present on various #bigdata topics including data fabric, #machinelearning, and conta… https://t.co/tcN8RZrN0o",FALSE,0,NA,2018-01-29 15:15:13,TRUE,NA,"957995554327420929",NA,"<a href=""http://www.oktopost.com"" rel=""nofollow"">Oktopost</a>","brookeohare",0,FALSE,FALSE,NA,NA
"33","RT @ProductiveSys: #DeepLearning vs. #MachineLearning what's the difference between the two? 
#AI #ML #DL #Algorithms #NLP #DataScience #Io…",FALSE,0,NA,2018-01-29 15:15:09,FALSE,NA,"957995535796973570",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sajidmirza",5,TRUE,FALSE,NA,NA
"34","Read on to see how a #machinelearning algorithm maximizes the language learning ability of a deaf child!… https://t.co/03zZ3MrbXJ",FALSE,0,NA,2018-01-29 15:15:07,TRUE,NA,"957995529027203072",NA,"<a href=""http://dynamicsignal.com/"" rel=""nofollow"">VoiceStorm</a>","owcampbell",0,FALSE,FALSE,NA,NA
"35","RT @DeepLearn007: A Primer on AI in Financial Services
Source: McKinsey Global Institute
#AI #MachineLearning #DeepLearning #BigData #Finte…",FALSE,0,NA,2018-01-29 15:15:06,FALSE,NA,"957995525739024384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AzurFlorian",202,TRUE,FALSE,NA,NA
"36","RT @randal_olson: Features of #Python 3 for data scientists. #DataScience #MachineLearning

https://t.co/WGVBQh90bm https://t.co/ClVJ7dnM1l",FALSE,0,NA,2018-01-29 15:15:04,FALSE,NA,"957995515785990144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheRockstarDBA",21,TRUE,FALSE,NA,NA
"37","Changing #Insurance: The evolution of #analytics and #machinelearning are shaping the industry's future. https://t.co/bBTXWLxc7P",FALSE,1,NA,2018-01-29 15:15:00,FALSE,NA,"957995501487558656",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Intrasoft_int",0,FALSE,FALSE,NA,NA
"38","RT @DeepLearn007: Big Data Combined With Machine Learning Helps Businesses Make Much Smarter Decisions
#AI #MachineLearning #BigData #Finte…",FALSE,0,NA,2018-01-29 15:14:59,FALSE,NA,"957995494109671424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ocateslibrayr",157,TRUE,FALSE,NA,NA
"39",".@Synthego Launches Powerful #CRISPR Analysis Software to Make World-Class #GenomeEngineering Accessible… https://t.co/CrAWUmaL7L",FALSE,1,NA,2018-01-29 15:14:48,TRUE,NA,"957995449461460992",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SynBioBeta",1,FALSE,FALSE,NA,NA
"40","RT @IainLJBrown: MedyMatch tech for pinpointing brain bleeds gets FDA nod for quick approval
#AI #MachineLearning #DeepLearning #ML #DL #He…",FALSE,0,NA,2018-01-29 15:14:36,FALSE,NA,"957995400970907648",NA,"<a href=""https://ctriq.org"" rel=""nofollow"">My first twitter bot ch</a>","CarrieH3nry",4,TRUE,FALSE,NA,NA
"41","#startup DataCrunch .Cloud - One #cloud for transforming Huge, GreatBig, Monster #Data ;-) into action.… https://t.co/ES16yfDb9U",FALSE,0,NA,2018-01-29 15:14:32,TRUE,NA,"957995382029606917",NA,"<a href=""http://convey.pro"" rel=""nofollow"">Convey: Make it post for you</a>","jane_ayres12",1,FALSE,FALSE,NA,NA
"42","RT @JimMarous: Why Banks Will Use AI-powered Solutions

https://t.co/N273Dfk55y  

#AI #fintech #machinelearning #data #banking
@FinancialB…",FALSE,0,NA,2018-01-29 15:14:30,FALSE,NA,"957995374337253377",NA,"<a href=""https://www.labnol.org/bots"" rel=""nofollow"">r.GR</a>","lucianocantaro",13,TRUE,FALSE,NA,NA
"43","RT @kdnuggets: Using AutoML to Generate #MachineLearning Pipelines with TPOT https://t.co/jRYSNYJuqk @mattmayo13 https://t.co/6oJK2BSXmN",FALSE,0,NA,2018-01-29 15:14:30,FALSE,NA,"957995373234216960",NA,"<a href=""https://www.youtube.com/watch?v=kOdzV3B8GWQ"" rel=""nofollow"">Calcaware</a>","Calcaware",2,TRUE,FALSE,NA,NA
"44","RT @juliettesultan: #AI and #machinelearning will help businesses to better focus their governance controls to reduce risk more effectively…",FALSE,0,NA,2018-01-29 15:14:28,FALSE,NA,"957995363952201729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","georgevhulme",1,TRUE,FALSE,NA,NA
"45","Big Data Combined With Machine Learning Helps Businesses Make Much Smarter Decisions
#AI #MachineLearning #BigData… https://t.co/bQwTlr44zD",FALSE,0,NA,2018-01-29 15:14:27,TRUE,NA,"957995359539785728",NA,"<a href=""http://convey.pro"" rel=""nofollow"">Convey: Make it post for you</a>","CN20",0,FALSE,FALSE,NA,NA
"46","RT @apanisson: #OpenPosition at ISI Foundation - we are searching for Data Scientists to work with Applied #MachineLearning in Finance. #AM…",FALSE,0,NA,2018-01-29 15:14:23,FALSE,NA,"957995345820241920",NA,"<a href=""https://www.youtube.com/watch?v=kOdzV3B8GWQ"" rel=""nofollow"">Calcaware</a>","Calcaware",4,TRUE,FALSE,NA,NA
"47","Real-World Machine Learning #machinelearning https://t.co/R95AVNE6NI",FALSE,1,NA,2018-01-29 15:14:22,FALSE,NA,"957995341218856960",NA,"<a href=""https://twitter.com/DD_FaFa_"" rel=""nofollow"">FAFA_DD_App_2</a>","DD_FaFa_",1,FALSE,FALSE,NA,NA
